UGS,area,tree,grassland,water,herbaceous_wetland,mangroves,mean_ndvi,mean_ndwi,Pavilion_Picnic_Area,Kids_Playground,Body_of_water,Jog_Walk_path,Athletic_facility,Nature_Preserve,Dog_Park,Indoor_Outdoor_fitness_center,Biodiversity,y,LM_yfitOOB,LM_ResOOB,LM_yfitPred,LM_ResPred,LM_MSE,LM_Rsq100,LPerm,Local primary factor,,variable,number,proportion
Sunrise_Oscar Wind Park,0.014054109,0.0435164,0.016279242,0.007524662,0.014042541,0,0.024713735,0.012697496,0.029765888,0.033075271,0.003675744,0.005956418,0.005219558,0,0.001793112,0.00635663,0.045731136,0.625,0.625381529,-0.000381529,0.621800305,0.003199695,0.045185515,-0.067155497,1,Biodiversity,,,,
Sunrise_Sawgrass Sanctuary Park,0.008241649,0.045134795,0.018062615,0.007027884,0.01532219,0,0.020442839,0.014179925,0.028927138,0.038081337,0.002171511,0.005256095,0.009185595,0,0.000665643,0.004198112,0.059018869,0.625,0.796035313,-0.171035313,0.669574588,-0.044574588,0.04189815,0.006457542,1,Biodiversity,,,,
Sunrise_Shotgun Road Linear Park,0.014409306,0.058101894,0.023980507,0.007851952,0.015123799,0,0.025904463,0.019283121,0.037702001,0.043420252,0.006264742,0.0089493,0.016689149,0,0.001083944,0.005278346,0.053158656,1,0.646466954,0.353533046,0.900460398,0.099539602,0.056182436,-0.261162353,1,tree,,,,
Sunrise_Sunrise Athletic Complex,0.090968408,0.060887143,0.031451976,0.001341878,0.019441538,0,0.067537253,0.034230451,0.003657089,0.019562745,0.023091489,0.002802807,0.025195185,0,0.013448014,0.002755092,0.0727455,0.677966102,0.661499014,0.016467088,0.679262823,-0.001296721,0.054150345,-0.039346182,1,area,,,,
Sunrise_Sunrise Sportsplex,0.10620356,0.178383251,0.035934749,0,0.033175501,0,0.133377869,0.048240156,0.008630907,0.003890387,0.006107433,0.013812133,0.058502688,0,0.001401214,0.010809674,0.162878574,0.68,0.59920397,0.08079603,0.680716868,-0.000716868,0.052335866,0.115368823,1,tree,,,,
Sunrise_Sunrise Tennis Club,0.052959605,0.063673279,0.014937659,1.10E-05,0.014627742,0,0.049883155,0.020489084,0.008316876,0.032141281,0.002257512,0.01053247,0.005010022,0,0.013283274,0.002254574,0.014001414,0.904761905,0.699072183,0.205689722,0.89569781,0.009064095,0.087223335,-0.480022526,1,tree,,,,
Sunrise_Welleby Park,0.068209539,0.076606719,0.032799908,0.000689886,0.021399891,0,0.088815333,0.045353477,0.00330042,0.012109927,0.012308791,0.01190938,0.033377653,0,0.015141137,0.004347822,0.088451942,0.459915612,0.694180999,-0.234265387,0.468323313,-0.008407701,0.055599142,-0.031095715,1,mean_ndvi,,,,
Tamarac_Caporella Aquatic Center,0.168604665,0.230106564,0.031565355,0,0.087952663,0,0.1921063,0.066431919,0.01048131,0.002742773,0.028089858,0.018974496,0.072283871,0.000905646,0,0.021733586,0.153750481,0.333333333,0,0.333333333,0.317886825,0.015446508,0.045645781,0.081119967,1,tree,,,,
Tamarac_Caporella Park,0.203808405,0.147207651,0.157480075,0.026210096,0.029894938,0,0.193025086,0.095893391,0.003245454,0.017783904,0.044289787,0.01129582,0.016403521,9.47E-05,0,0.000292779,0.104715412,0.576271186,0.802838828,-0.226567642,0.589804464,-0.013533278,0.105728837,-0.62853653,1,area,,,,
Tamarac_Mainlands Park,0.053065462,0.037333319,0.04096563,0.000116863,0.00369708,0,0.027988045,0.023087317,0.005144258,0.022105583,0.009595201,0.004512975,0.003076521,0,0,0.011357105,0.015914615,0.8,0.5,0.3,0.791149647,0.008850353,0.03367715,-0.505199533,1,area,,,,
Tamarac_Sunset Point Park,0.163107697,0.030645177,0.094762739,0.001585243,0.016989932,0,0.132120691,0.069299001,0.004197537,0.002717352,0.014927513,0.005141102,0.013035992,0.002663555,0.002417085,0.023341848,0.093162419,0.405660377,0.624703158,-0.219042781,0.415954462,-0.010294085,0.063904829,-0.335226229,1,area,,,,
Tamarac_Swim Central Annex Park,0.141394479,0.221862196,0.040866322,0,0.091081686,0,0.153070846,0.04436903,0.015889445,0.001154951,0.044942022,0.008593417,0.069080165,0.002270871,0,0.032859081,0.202242884,0,0.333333333,-0.333333333,0.024815584,-0.024815584,0.046553904,0.062838837,1,tree,,,,
Tamarac_Tamarac Recreation Center,0.029696238,0.05460474,0.009815797,0.001947084,0.01883456,0,0.038850996,0.025973936,0.003740267,0.00405212,0.003248988,0.004460835,0.001329225,0.009429026,0.000963588,0.001439222,0.036250749,0.571428571,0.551042616,0.020385955,0.565968727,0.005459844,0.035545484,0.119089255,1,tree,,,,
Tamarac_Tamarac Sports Complex,0.114730296,0.013555386,0.04943124,0,0.017259747,0,0.061656328,0.023327178,0.00015985,0.007763973,0.006363205,0.006447976,0.008878781,0.000288369,0.002298407,0.025731686,0.096294444,0.666666667,0.724153298,-0.057486631,0.666703356,-3.67E-05,0.045253857,-0.043318155,1,area,,,,
Tamarac_Tamarac Veterans Park-Dog Park,0.010919518,0.02439795,0.014983861,0,0.010732328,0,0.018036182,0.006654922,0.002082073,0.007632511,0.002014393,0.012484527,0.003260531,0.007720478,0.004095696,0.002709207,0.007434233,0.474358974,0.677805315,-0.203446341,0.49061565,-0.016256676,0.029506148,-0.243028626,1,tree,,,,
